name,location,price,capacity,rating,reviews,description
Atlanta Botanical Garden,"Atlanta, GA",$$$,151-200 Guests,4.7,21,"An urban oasis nestled in the heart of Midtown, this property offers lush lawns, verdant tropical foliage."
Monday Night Brewing: The Garage,Metro Atlanta,$$,300+ Guests,4.9,14,"With high ceilings and ample natural light, historic charm and plenty of space."
Factory Atlanta,"Atlanta, GA",$$$,300+ Guests,5,6,This industrial-meets-chic property has been setting the scene for marital events.
Park Tavern: The Piedmont Room & Piedmont Garden Tent,Georgia,$$,251-300 Guests,4.7,132,"Overlooking Piedmont Park, our venues celebrate what Atlanta is all about."
Journeyman's Hall,"Atlanta, GA",$$,151-200 Guests,5,3,"Led by owner Chef Vincent Marra, this talented team creates your dream wedding day."
Grana,"Atlanta, GA",$$,151-200 Guests,5,1,Provides 3 levels of event space with authentic Southern Italian cuisine.
FORTH Hotel Atlanta,"Atlanta, GA",$$$$,201-250 Guests,0,0,A deluxe wedding venue with an elegant ballroom and state-of-the-art facilities.
Ambient + Studio,"Atlanta, GA",$$,251-300 Guests,4.4,9,A unique wedding venue built in 1910 with historic charm.
Wahoo! Grill,"Decatur, GA",$$,201-250 Guests,5,100,"Outstanding staff creates a full-service, memorable experience."
The Kimpton Shane,Atlanta,$$$,51-100 Guests,0,0,A boutique hotel with stunning architecture and stylish furnishings.
Hyatt Regency Atlanta Perimeter at Villa Christina,"Atlanta, GA",$$$,300+ Guests,4.6,63,Surrounded by 83 acres of landscaped gardens with captivating views.
The White Bull,"Decatur, GA",$$,51-100 Guests,0,0,A restaurant specializing in Italian farm-to-table cuisine.
Ecco Buckhead,"Atlanta, GA",$$$,300+ Guests,4.8,41,An enchanting and elegant restaurant in Buckhead.
Emory Conference Center Hotel,"Atlanta, GA",$$,300+ Guests,4.8,41,Elegant venue with unique surroundings and convenient location.
The Wimbish House,"Atlanta, GA",$$,201-250 Guests,4.9,85,A Victorian-era home with historic charm for weddings.
Historic DeKalb Courthouse,"Decatur, GA",$$,101-150 Guests,4.9,92,Elegant courtroom with white marble and 20-foot ceilings.
Renaissance Atlanta Midtown Hotel,Midtown Atlanta,$$$,300+ Guests,5,2,Located in the arts and music district with prime location.
Wrecking Bar Brewpub,"Atlanta, GA",$$,201-250 Guests,5,9,A historic mansion with Victorian-era architecture.
Callanwolde Fine Arts Center,"Atlanta, GA",$$$,151-200 Guests,4.6,38,A unique venue with a century-long legacy.
SCAD Ivy Hall,Georgia,$$,101-150 Guests,4.5,4,A historic wedding venue designed by Gottfried L. Norrman.
Grand Hyatt Atlanta in Buckhead,"Atlanta, GA",$$$,300+ Guests,5,4,An urban retreat with modern comfort and luxury.
Intercontinental Buckhead Atlanta,"Atlanta, GA",$$$,300+ Guests,5,8,Combines classic charm with modern luxury.
The Westside Warehouse,"Atlanta, GA",$$,201-250 Guests,5,37,A converted warehouse with cathedral ceilings.
Hotel Colee,"Atlanta, GA",$$$,251-300 Guests,0,0,Awarded as one of the best hotels in the South.
Kimpton Sylvan Hotel,"Atlanta, GA",$$$,101-150 Guests,1,1,A boutique hotel in the heart of Buckhead.
Waldorf Astoria Atlanta Buckhead,"Atlanta, GA",$$$$,51-100 Guests,4.9,7,Luxury venue with Southern charm in a prestigious neighborhood.
Omni Atlanta Hotel at Centennial Park,"Atlanta, GA",$$$,300+ Guests,5,6,Perfect location across from Centennial Olympic Park.
42West Entertainment Group,"Atlanta, GA",$$$,251-300 Guests,5,6,A blend of industrial modernity and refined elegance.
THE TROLLEY BARN,"Atlanta, GA",$$,201-250 Guests,4.2,41,"Features hardwood floors, patio, and garden area."
Renaissance Concourse Atlanta Airport Hotel,"Atlanta, GA",$$$,300+ Guests,0,0,Elegant venue combining luxury and convenience.
Enon Ranch,"Atlanta, GA",$$,251-300 Guests,5,2,A rustic event space offering countryside views for weddings.
Pristine Chapel Lakeside,"Jonesboro, GA",$$,251-300 Guests,4.8,103,A luxe ceremony and reception venue with lakeside views.
Kimball Hall,"Roswell, GA",$$,151-200 Guests,5,162,A newly renovated venue with indoor and outdoor spaces.
Brick and Ivey,"Marietta, GA",$$,151-200 Guests,5,99,A modern venue with exposed brick walls and separate event spaces.
The Atrium,"Norcross, GA",$$,101-150 Guests,4.9,150,A contemporary venue with a glass mezzanine overlooking gardens.
Naylor Hall,"Roswell, GA",$$,201-250 Guests,5,173,A historic venue with a modern makeover for weddings.
Stanley House Mansion,"Marietta, GA",$$,101-150 Guests,5,48,A historic mansion offering classic Southern charm.
Primrose Cottage,"Roswell, GA",$$,300+ Guests,4.9,272,An idyllic three-story home in a historic area.
Roswell Historic Hall,"Roswell, GA",$$,300+ Guests,4.3,49,A versatile event venue for various occasions.
Flint Hill,"Norcross, GA",$$,251-300 Guests,4.8,205,A restored historic mansion with a covered pavilion.
Little Gardens,"Lawrenceville, GA",$$,251-300 Guests,4.9,215,A serene venue with a manor house and green grounds.
Country Club of Roswell,"Roswell, GA",$$,201-250 Guests,4.7,23,Flexible event spaces for intimate or large celebrations.
Vecoma At The Yellow River,"Snellville, GA",$$,251-300 Guests,4.9,199,A waterfront venue offering discounts for weddings.
Olde Towne Special Events,"Atlanta, GA",$$,251-300 Guests,5,66,A full-service event facility with a stylish backdrop.
Ivy Hall,"Roswell, GA",$$$,201-250 Guests,4.9,89,A historic venue with a glass chapel for weddings.
Roswell Mill Club,"Roswell, GA",$$,151-200 Guests,4.8,41,A historic mill turned event venue for weddings.
The 173 Carlyle House,"Norcross, GA",$$,300+ Guests,4.8,109,A turn-of-the-century mansion with manicured grounds.
Brumby Hall & Gardens,"Marietta, GA",$$,151-200 Guests,4,2,A historic property with meticulously kept gardens.
The Foxglove,"Marietta, GA",$$,300+ Guests,5,3,A historic venue in the heart of the district.
Huntcliff River Club,"Atlanta, GA",$$,101-150 Guests,4.9,30,A charming venue surrounded by river oaks.
Eden Garden House,"Lithonia, GA",$$$,151-200 Guests,0,0,A garden house facility for special events.
Whitestone Reserve,"Austell, GA",$$,101-150 Guests,5,21,A new venue with neutral tones and natural lighting.
The Reserves at Hamilton Homes,"Mableton, GA",$$$,101-150 Guests,5,1,A venue offering sunset views and a spiral staircase.
Chattahoochee Nature Center,"Roswell, GA",$$,151-200 Guests,4.8,38,A nature-focused venue for outdoor weddings.
Westin Atlanta Airport,"Atlanta, GA",$$$,300+ Guests,4,4,A convenient hotel near the airport for weddings.
The Cotton Gin at Mill Creek,"Hiram, GA",$$,151-200 Guests,5,95,An all-inclusive wedding venue with a proven planning experience.
Ashton Gardens Atlanta by Walters Wedding Estates,"Sugar Hill, GA",$$$,251-300 Guests,4.8,475,A premier venue with a glass chapel and lush landscapes.
Conservatory at Waterstone,"Acworth, GA",$$,201-250 Guests,4.9,102,A historic banquet hall offering all-inclusive solutions.
The Wildflower Barn at Little River Farms,"Alpharetta, GA",$,101-150 Guests,5,81,A renovated barn with distressed white brick walls.
Little River Farms,"Alpharetta, GA",$$,201-250 Guests,4.9,188,"Little River Farms is a wedding venue in Alpharetta, GA, located just 30 minutes away from downtown Atlanta, offering a peaceful retreat with outdoor event spaces."
Payne Corley House,"Duluth, GA",$$,151-200 Guests,5,190,"The Payne-Corley House is a restored farmhouse in Duluth, GA, offering a tranquil retreat for wedding celebrations with picturesque grounds."
The Grande At Kennesaw,"Kennesaw, GA",$$,201-250 Guests,4,10,"The Grande At Kennesaw is a charming Victorian-style farmhouse nestled on 2.5 acres of landscaped gardens, providing a romantic backdrop for weddings."
SomeTheme Weddings & Events,Metro Atlanta and Surrounding Areas,$$$,51-100 Guests,5,6,"SomeTheme Weddings & Events offers an elegant venue with 11 ft windows and outdoor event spaces, providing timeless elegance for intimate weddings."
Foxhall Resort,"Douglasville, GA",$$$,201-250 Guests,4.2,63,"Foxhall Resort is a picturesque wedding venue on 1,100 acres, offering a full weekend experience with outdoor event spaces and virtual tours."
Venue 92,"Woodstock, GA",$$,151-200 Guests,4.9,89,"Venue 92 offers flexible event spaces for romantic gardens, glamorous evenings, or lively parties, with virtual tours available."
Che’ne Rouge,"Hiram, GA",$$,151-200 Guests,4.9,7,"Che’ne Rouge is a premier wedding venue in Hiram, GA, offering elegant settings for intimate wedding celebrations."
TPC Sugarloaf,"Duluth, GA",$$$,201-250 Guests,5,36,"TPC Sugarloaf is an elegant wedding venue with a clubhouse overlooking a championship golf course, offering virtual tours."
Douglasville Conference Center,"Douglasville, GA",$$,300+ Guests,3,1,"Douglasville Conference Center is a wedding venue with elegant spaces and a downtown location, ideal for large events."
Governors Towne Club,"Acworth, GA",$$,201-250 Guests,4.2,13,"Governors Towne Club is an elegant event venue with a golf course and sophisticated spaces, located 45 minutes from downtown Atlanta."
Hilton Alpharetta Atlanta,"Alpharetta, GA",$$,251-300 Guests,5,1,"Hilton Alpharetta Atlanta is a full-service hotel and wedding venue with outdoor event spaces, opened in spring 2021."
Hazlehurst House,"McDonough, GA",$$,251-300 Guests,4.8,54,"Hazlehurst House is a wedding venue on three acres of private land, offering indoor and outdoor spaces for intimate celebrations."
Vines Mansion & Gardens,"Loganville, GA",$$,300+ Guests,4.6,31,"Vines Mansion & Gardens offers an open vendor policy and stunning gardens for weddings, allowing couples to bring their own vendors."
Atlanta Marriott Alpharetta,"Alpharetta, GA",$$,300+ Guests,5,2,"Atlanta Marriott Alpharetta is a luxurious hotel venue in the heart of Alpharetta, ideal for sophisticated weddings."
The Grand Ivy Point,"Suwanee, GA",$$,300+ Guests,3,2,"The Grand Ivy Point is a premier wedding venue designed for various events, with over 12,000 square feet of space."
Genesis Ballroom,"Suwanee, GA",$$,251-300 Guests,5,6,"Genesis Ballroom is an opulent wedding venue blending elegance, contemporary, and industrial styles, established in 2022."
St Ives Country Club,"Johns Creek, GA",$$$,201-250 Guests,4.7,14,"St Ives Country Club is a stunning wedding venue with a 45,000 square foot clubhouse and outdoor event spaces."
Cherry Hollow Farm,"Chattahoochee Hills, GA",$$,151-200 Guests,5,6,"Cherry Hollow Farm is an indoor/outdoor wedding venue with two bars, a stage, and cocktail lounge, offering a unique setting."
Breckinridge Banquet Hall,"Duluth, GA",$$,101-150 Guests,4.8,27,"Breckinridge Banquet Hall is an upscale venue for intimate to large wedding celebrations in Duluth, GA."
Atlanta Cosmopolitan Event Center,"Douglasville, GA",$$,300+ Guests,0,0,"Atlanta Cosmopolitan Event Center offers a convenient location for wedding events, just 10 miles from downtown Atlanta."
The Wheeler House and Barn,"Ball Ground, GA",$$,251-300 Guests,4.9,117,"The Wheeler House and Barn is a rustic barn wedding venue with Southern charm, perfect for countryside celebrations."
Carl House,"Auburn, GA",$$$,201-250 Guests,4.8,185,"Carl House is a historic wedding venue with elegant grounds and a barn, offering a mix of rustic and refined settings."
Koury Farms Weddings & Events,"Auburn, GA",$$,151-200 Guests,5,110,Koury Farms Weddings & Events is a unique venue offering detailed planning and a mix of rustic and elegant spaces.
Lanier Islands Weddings,"Buford, GA",$$$,300+ Guests,4.7,170,Lanier Islands Weddings provides breathtaking backdrops and world-class amenities for wedding celebrations.
Bullock Springs Manor,"Dallas, GA",$$,151-200 Guests,4.4,16,Bullock Springs Manor is a premier barn and farm wedding venue with landscaped gardens and elegant spaces.
The Engine Room,"Monroe, GA",$,300+ Guests,4.9,32,The Engine Room at Monroe Cotton Mills offers historical elegance with modern convenience for unique wedding celebrations.
Bradford House and Gardens,"Flowery Branch, GA",$$,101-150 Guests,5,42,Bradford House and Gardens is a classic Southern home venue with seven acres of gorgeous land for wedding celebrations.
Lillian Gardens,"Newnan, GA",$$$,151-200 Guests,5,37,Lillian Gardens is a full-service event venue offering professional planning services in a spacious mansion and garden setting.
In The Woods,"Rockmart, GA",$$$,201-250 Guests,5,23,In the Woods is North Georgia's newest state-of-the-art Wedding and Event Venue located on a family-owned secluded property.
Vinewood Stables,"Newnan, GA",$$$,201-250 Guests,4.9,88,Vinewood Stables is a historic homestead and wedding venue featuring the original farmhouse.
Four Oaks Manor,"North Georgia, Metro-Atlanta",$$,101-150 Guests,4.7,50,"Four Oaks Manor is a garden wedding venue located in Buford, GA, at a historic farmhouse."
Fendley Farmstead LLC,"Canton, GA",$$,151-200 Guests,5,114,Fendley Farmstead is a picturesque farm wedding venue with historic settings and expansive pastures.
Hi-Def Events,GA,$$,251-300 Guests,5,11,Hi-Def Events offers a modern yet timeless event venue setting near downtown Atlanta.
Mystic Acres Barn,"Griffin, GA",$$,251-300 Guests,0,0,Mystic Acres Barn is a beautiful wedding venue rooted in a family's dream.
The Gathering at Golden Creek,"Bremen, GA",$$$,201-250 Guests,0,0,The Gathering at Golden Creek is a wedding venue situated on 23 acres of peaceful property.
Cherokee County Conference Center @ The Bluffs,"Canton, GA",$$$,251-300 Guests,5,3,"Cherokee County Conference Center offers over 8,000 sq ft of conference space."
The Willows Farm,"Marble Hill, GA",$$,201-250 Guests,5,96,The Willows Farm is a picturesque country event venue nestled in rolling hills.
White Laurel Estate,"Dawsonville, GA",$$$,151-200 Guests,5,39,White Laurel Estate is a former equestrian farm turned wedding venue with onsite accommodations.
Sage Cottage,"Adairsville, GA",$$,151-200 Guests,4.6,11,Sage Cottage is a premier wedding venue combining cottage charm with elegance.
The Georgia Club,"Statham, GA",$$$,251-300 Guests,4.8,5,"The Georgia Club offers outdoor gardens, indoor ceremony locations, and customizable reception spaces."
Harrells Vineyard,"Newnan, GA",$$,300+ Guests,0,0,"Harrells Vineyard blends history, natural beauty, and Southern charm."
Stone Creek Inn,"Rockmart, GA",$$,101-150 Guests,4.9,8,Stone Creek Inn is a charming venue nestled on 20 acres with a tranquil creek.
The Farm at Rivers Edge,"Dawsonville, GA",$$,51-100 Guests,0,0,The Farm at River’s Edge is perfect for a river wedding on 32 acres.
"The Venue at Sharp Mountain, LLC","Jasper, GA",$$$,251-300 Guests,5,53,The Venue at Sharp Mountain is a wedding and events venue with historic charm.
Beautiful Beginnings Farm,"Newborn, GA",$,101-150 Guests,5,133,Beautiful Beginnings Farm offers a unique setting for wedding celebrations.
The Tate House,"Tate, GA",$$$,201-250 Guests,4.9,34,The Tate House is a historic mansion built with Etowah pink marble.
Hightower Falls,"Cedartown, GA",$$,251-300 Guests,4.9,92,Hightower Falls features a natural 80 ft. waterfall and historic gristmill ruins.
Magnolia Creek Farms,"North Georgia, East Tennessee",$$$,300+ Guests,5,5,Magnolia Creek Farms is a countryside venue with 170 acres of grounds.
Downtown Moreland Mill,"Moreland, GA",$$,151-200 Guests,5,2,Downtown Moreland Mill is a historic venue with old-world charm.
Autumn Oaks of Winder,"Winder, GA",$$,101-150 Guests,5,2,Autumn Oaks of Winder is a charming venue for wedding celebrations.
Barn South,"Talmo, GA",$$,201-250 Guests,5,11,Barn South is a luxury Southern destination with natural character.
"Thompson House & Gardens, 9 Oaks Farm, & 2425 Warehouse",Ga,$$,151-200 Guests,4.9,68,Thompson House & Gardens is a stunning Victorian home with elegant gardens.
Gaither's at Myrtle Creek Farm,"Covington, GA",$$,151-200 Guests,4.9,3,Gaither's at Myrtle Creek Farm is a historic setting for weddings.
Spring Lake Events,"Rockmart, GA",$$,151-200 Guests,5,20,Spring Lake Events features a beautiful lake and tranquil surroundings.
Swan Lake Overlook,"Dawsonville, GA",$$$,251-300 Guests,5,11,Swan Lake Overlook is a modern and elegant wedding venue on 200 acres.
The Sixty Two,Georgia,$$,151-200 Guests,5,2,The Sixty Two is a luxurious wedding venue in Atlanta.
2400 On The River,"Ranger, GA",$$$,201-250 Guests,4.9,35,2400 On The River is a rustic venue overlooking the Coosawattee River.
Juliette Chapel,"Dahlonega, GA",$$,51-100 Guests,5,36,Juliette Chapel is ideal for intimate wedding affairs.
The Chapel Athens,"Athens, GA",$$$,251-300 Guests,5,17,A pristine downtown estate offering indoor and outdoor spaces for weddings.
1051 Baxter,"Athens, GA",$$,251-300 Guests,5,1,A new events facility in the heart of Athens.
Twin Ponds at Riverbend,"Plainville, GA",$$,151-200 Guests,5,1,Breathtaking venue offering a relaxed atmosphere.
"Bogle Farm, LLC","Greenville, GA",$$$,251-300 Guests,4.9,45,"An idyllic, award-winning venue with access to nature."
Falling Waters Mountain Lodge,"Ellijay, GA",,Outdoor Event Space,5,1,A rural retreat near Ellijay’s downtown.
Summit Farm Weddings,"Ellijay, GA",$$,101-150 Guests,4.9,112,Enchanting countryside venue with mountain views.
255 Milledge | Hardeman-Sams Estate,"Athens, GA",$$$,151-200 Guests,4.9,118,Historic estate for extraordinary celebrations.
Georgian Hall,"Athens, GA",$$$,201-250 Guests,5,103,Elegant historic site for weddings.
Ivy & Oak,"Talking Rock, GA",$$,151-200 Guests,5,35,Chic and elegant barn venue.
Ott Vineyards and Winery,"Ellijay, GA",,Outdoor Event Space,0,0,Family-owned winery with scenic views.
The Lodge at Taylor Estate,"Rome, GA",,Up to 350 Guests,5,2,Newly-built with bi-fold doors for indoor-outdoor events.
27 on Park,"Dahlonega, GA",$$$,51-100 Guests,5,3,Boutique hotel with mountain views.
The Venue on Broad,"Athens, GA",$$,201-250 Guests,5,4,Unique style blending New Orleans and industrial vibes.
Strawberry Roan Farm's Barn,"Dahlonega, GA",$$,101-150 Guests,5,1,Rustic-chic barn for weddings.
The Falls at Blue Ridge,"Ellijay, GA",$$$$,251-300 Guests,4.3,4,Stunning venue with mountain views.
CeNita Venue at CeNita Vineyards & Winery,"Cleveland, GA",$$,151-200 Guests,4.9,49,Overlooks vineyards and winery.
South Elm Events,"Commerce, GA",$$,101-150 Guests,5,1,Ideal for fairytale weddings.
Cloverleaf Farm,"Arnoldsville, GA",$$,300+ Guests,4.9,72,Farm setting with unique furnishings.
Grant Hill Farms,"Commerce, GA",$$,201-250 Guests,5,68,Peaceful farmland venue.
Yonah Mountain Vineyards,"Cleveland, GA",$$$,201-250 Guests,4.9,49,Romantic venue with indoor and outdoor spaces.
Cormiston Farms,"Clarkesville, GA",$$$,101-150 Guests,5,4,Scenic country venue.
River North Country Club,"Macon, GA",$$,151-200 Guests,0,0,Stunning venue for celebrations.
Enotah Valley Event Center,"Blairsville, GA",$$,51-100 Guests,5,5,Rustic setting for weddings.
Valhalla Resort Hotel,"Helen, GA",$$,51-100 Guests,5,2,"Elegant, Scottish castle-like ambiance."
Fall Line Station,"Macon, GA",$$$,300+ Guests,4.9,13,Industrial-chic event space.
Wynnewood Grove,"Lexington, GA",$$,251-300 Guests,0,0,Historic and romantic farm venue.
McEachin Farm,"Danielsville, GA",$$,101-150 Guests,5,2,Stunning venue for special events.
Butler Hall Events,"Gray, GA",$$,201-250 Guests,5,1,Modern event facility in a restored garage.
Brasstown Valley Resort & Spa,"Young Harris, GA",$$$,151-200 Guests,4.9,79,Resort with golf and spa.
Overlook 55,"Young Harris, GA",$$$$,151-200 Guests,5,7,Rustic charm with elegance.
Walnut Hill Farm,"Dalton, GA",$$,300+ Guests,4.8,16,"Majestic mountain views, formal and informal gardens, orchards and a beautifully landscaped pond."
The Estate at Stone Creek,"Macon, GA",$$,201-250 Guests,4.8,5,"Boasting over 100 acres of beautiful landscape and a historic 2,900 square foot venue."
Lake Rabun Hotel & Restaurant,"Lakemont, GA",$$,101-150 Guests,5.0,2,"Our gorgeous wedding venue, Forest Lodge Wedding and Event Center, has two covered, open-air decks, floor to ceiling wood burning fireplace outside, and a cozy indoor gas fireplace."
Bend of The River,"Hiawassee, GA",$$,300+ Guests,0.0,0,"Bend of the River is a gorgeous, tranquil wedding venue on Lake Chatuge in Hiawassee, Georgia."
Currahee Club,"Toccoa, GA",$$$,101-150 Guests,5.0,10,"Nestled in the North Georgia mountains, the Currahee Club features serene lake and mountain views offering a unique blend of sophistication and rustic charm."
The Ridges Resort on Lake Chatuge,"Hiawassee, GA",$$$,201-250 Guests,4.9,46,"The Ridges Resort on Lake Chatuge is the only lakeside mountain resort in Georgia, surrounded by the majestic Blue Ridge mountains and featuring a grand ballroom."
Rustic Vows,"Mineral Bluff, GA",$$,51-100 Guests,0.0,0,"Situated in Mineral Bluff, GA, Rustic Vows offers an idyllic barn-style setting for creating bespoke wedding events."
Meadows at Mossy Creek,"Cleveland, GA",$$$$,251-300 Guests,5.0,39,Meadows at Mossy Creek is a stylish and contemporary property with indoor and outdoor spaces for wedding celebrations.
The Dogwood Barn at G5Ranch,"Milledgeville, GA",$$$,300+ Guests,5.0,16,"Situated on over 600 acres in Milledgeville, Georgia, The Dogwood Barn is a premier wedding venue ideal for rustic romantic events."
Hawkesdene,"Andrews, NC",$$$,101-150 Guests,5.0,58,"Hawkesdene is a Private Mountain Estate located in Andrews, NC, offering a unique blend of sophistication and natural beauty."
Tryphena's Garden,"Fort Valley, GA",$$,151-200 Guests,4.9,18,"The Venue at Tryphena's Garden is a fairytale-like wedding and events venue in Fort Valley, Georgia."
Cloudland at McLemore Resort,"Rising Fawn, GA",$$$,251-300 Guests,4.2,6,"Your Dream Wedding, Above the Clouds At 2,300 feet above sea level, Cloudland at McLemore Resort on Lookout Mountain is a magical escape."
Splendor Mountain,"Tiger, GA",$$,51-100 Guests,4.7,27,"Splendor Mountain is the perfect venue for an intimate wedding ceremony and reception in Tiger, GA."
Windsong Willows,"Hayesville, NC",$$,101-150 Guests,5.0,3,"Nestled in the valley of the Blue Ridge Mountains, Windsong Willows is a charming new wedding venue in Hayesville, NC."
Skull Shoals Park,"Washington, GA",$$,300+ Guests,0.0,0,"Located in Historic Washington, GA, we offer several options for your special day surrounded by nature."
Tiger Mountain Vineyards,"Tiger, GA",$$$,101-150 Guests,5.0,1,"Nestled in the Blue Ridge Mountains, Tiger Mountain Vineyards offers a charming and intimate setting for your outdoor wedding."
Kingsland Farm,"Hawkinsville, GA",$$,151-200 Guests,5.0,1,"Kingsland Farm is a picturesque and reclusive wedding venue in Hawkinsville, GA, surrounded by calm rural beauty."
Forest Hill Park,"Perry, GA",$$,51-100 Guests,4.9,21,"Have a beautiful ceremony in a picturesque 1920's white wedding chapel, get dressed in our red train car, and have your guests enter through a covered bridge."
The Icehouse Dublin,"Dublin, GA",$$,300+ Guests,0.0,0,"The Icehouse Dublin is a unique wedding venue, a beautifully restored historic warehouse blending Southern style with urban flair."
The Partridge Inn,"Augusta, GA",$$$,101-150 Guests,3.7,3,"The Partridge Inn is a wedding venue located in Augusta, GA, providing an elegant, timelessly beautiful setting for milestone celebrations."
Padgett's Farm,"Waynesboro, GA",$$$,251-300 Guests,5.0,1,"Padgett's Farm is a gem of a wedding venue nestled on 610 acres of breathtaking nature in Waynesboro, GA."
Augusta Marriott Hotel & Suites,"Augusta, GA",$$,300+ Guests,4.3,6,"Augusta Marriott at the Convention Center is a hotel and wedding venue nestled on the Savannah River waterfront in Augusta, Georgia."
Quinney Oaks Plantation,"Millen, GA",$$,300+ Guests,4.8,18,"Our event & wedding venue can make each and every occasion feel special, from wedding ceremonies to special luncheons and parties."
